Year,Underlying cause of death annual,Underlying and contributing causes of death
1999,2.128725783,3.612383146
2000,1.069568479,1.620342945
2001,1.052746254,1.730013011
2002,1.216861417,1.967838749
2003,0.941029076,1.299516342
2004,0.771843958,0.898207791
2005,1.576899577,2.219841465
2006,2.084590735,3.173806151
2007,1.025790133,1.656534876
2008,0.973383339,1.443632722
2009,1.147433731,1.603799419
2010,1.535244859,2.400034685
2011,1.883874285,3.087371487
2012,1.509967506,2.507055753
2013,1.176735413,1.939082818
2014,0.765233183,1.088261945
2015,1.054698664,1.620938065
2016,1.4173971,2.339633642
2017,1.427610136,2.45610346
2018,1.63524833,2.854807364
